severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	resolution	tags	closeDate	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-02-12T15:52:22+0000		211.0		python:S3776	BNumMet	24min		Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"brain-overload / "	-	BNumMet:src/BNumMet/NonLinear.py	"{locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=236.0, endLine=236.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=243.0, endLine=243.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=255.0, endLine=255.0, startOffset=4.0, endOffset=9.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=255.0, endLine=255.0, startOffset=36.0, endOffset=39.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=259.0, endLine=259.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=259.0, endLine=259.0, startOffset=30.0, endOffset=32.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=263.0, endLine=263.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=266.0, endLine=266.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=270.0, endLine=270.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=278.0, endLine=278.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=280.0, endLine=280.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=287.0, endLine=287.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=287.0, endLine=287.0, startOffset=54.0, endOffset=57.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=290.0, endLine=290.0, startOffset=45.0, endOffset=47.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=291.0, endLine=291.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=299.0, endLine=299.0, startOffset=15.0, endOffset=17.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=306.0, endLine=306.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=310.0, endLine=310.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=320.0, endLine=320.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=320.0, endLine=320.0, startOffset=13.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=322.0, endLine=322.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=BNumMet:src/BNumMet/NonLinear.py, textRange={startLine=324.0, endLine=324.0, startOffset=4.0, endOffset=6.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=211.0, endLine=211.0, startOffset=4.0, endOffset=16.0}	24min	AYZGVOA9K3-6EP2jdksH	f8bffdc2cfb90824ef7e801047bd3d72	OPEN
MINOR	2023-02-12T15:52:22+0000		12.0		python:S116	BNumMet	2min		"Rename this field ""brentDekker"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=13.0, endOffset=24.0}	2min	AYZGVOAuK3-6EP2jdkrl	00e240ccc442d036216cbe21364fa4f8	OPEN
MINOR	2023-02-12T15:52:22+0000		43.0		python:S116	BNumMet	2min		"Rename this field ""currentStep"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=13.0, endOffset=24.0}	2min	AYZGVOAuK3-6EP2jdkri	7ea036c08ac3e4f5842d61571b8bbd12	OPEN
MINOR	2023-02-12T15:52:22+0000		48.0		python:S116	BNumMet	2min		"Rename this field ""revertStack"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=48.0, endLine=48.0, startOffset=13.0, endOffset=24.0}	2min	AYZGVOAuK3-6EP2jdkrs	9685033fd5c5e029dd9fdc24e8b9b2fa	OPEN
MINOR	2023-02-12T15:52:22+0000		57.0		python:S100	BNumMet	5min		"Rename method ""checkBoxChanged"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=23.0}	5min	AYZGVOAuK3-6EP2jdkrt	6df8c88953964a0875682e3854ea0a23	OPEN
MINOR	2023-02-12T15:52:22+0000		61.0		python:S100	BNumMet	5min		"Rename method ""sectionINT"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=61.0, endLine=61.0, startOffset=8.0, endOffset=18.0}	5min	AYZGVOAuK3-6EP2jdkru	1cf386d87dc2fff5e00af571464d0bcd	OPEN
MINOR	2023-02-12T15:52:22+0000		67.0		python:S100	BNumMet	5min		"Rename method ""sectionEXT"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=67.0, endLine=67.0, startOffset=8.0, endOffset=18.0}	5min	AYZGVOAuK3-6EP2jdkrv	5565d7a67b3ad046b21d9ac7c9bfb585	OPEN
MINOR	2023-02-12T15:52:22+0000		99.0		python:S116	BNumMet	2min		"Rename this field ""brentDekkerOut"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=99.0, endLine=99.0, startOffset=13.0, endOffset=27.0}	2min	AYZGVOAuK3-6EP2jdkrm	cbb3b082b6d988ac47aa9929a7ae6bb3	OPEN
MINOR	2023-02-12T15:52:22+0000		158.0		python:S116	BNumMet	2min		"Rename this field ""bisectButton"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=158.0, endLine=158.0, startOffset=13.0, endOffset=25.0}	2min	AYZGVOAuK3-6EP2jdkrf	a1753a6ade8855672b5544214937a1a7	OPEN
MINOR	2023-02-12T15:52:22+0000		167.0		python:S116	BNumMet	2min		"Rename this field ""secantButton"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=167.0, endLine=167.0, startOffset=13.0, endOffset=25.0}	2min	AYZGVOAuK3-6EP2jdkrh	8ab5fbf7d627cf2bc44dec6a51331134	OPEN
MINOR	2023-02-12T15:52:22+0000		176.0		python:S116	BNumMet	2min		"Rename this field ""IQIButton"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=176.0, endLine=176.0, startOffset=13.0, endOffset=22.0}	2min	AYZGVOAuK3-6EP2jdkrn	8cc0e4670f74187a5df7341d0b9be184	OPEN
MINOR	2023-02-12T15:52:22+0000		186.0		python:S116	BNumMet	2min		"Rename this field ""bisectCheckbox"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=186.0, endLine=186.0, startOffset=13.0, endOffset=27.0}	2min	AYZGVOAuK3-6EP2jdkrg	c6d82aa95382078437ec30152460c9a3	OPEN
MINOR	2023-02-12T15:52:22+0000		195.0		python:S116	BNumMet	2min		"Rename this field ""secantCheckbox"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=195.0, endLine=195.0, startOffset=13.0, endOffset=27.0}	2min	AYZGVOAuK3-6EP2jdkrj	1a2612eb35918c2d1f38e7ab9c2edf37	OPEN
MINOR	2023-02-12T15:52:22+0000		203.0		python:S116	BNumMet	2min		"Rename this field ""IQICheckbox"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=203.0, endLine=203.0, startOffset=13.0, endOffset=24.0}	2min	AYZGVOAuK3-6EP2jdkrp	5495ebf0b9ce94a63de45b5020b9b7d3	OPEN
MINOR	2023-02-12T15:52:22+0000		217.0		python:S117	BNumMet	2min		"Rename this local variable ""textGroup"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=217.0, endLine=217.0, startOffset=8.0, endOffset=17.0}	2min	AYZGVOAuK3-6EP2jdkry	5560d54401d1249459ff6bfe6d61e85d	OPEN
MINOR	2023-02-12T15:52:22+0000		231.0		python:S117	BNumMet	2min		"Rename this local variable ""buttonsGroup"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=231.0, endLine=231.0, startOffset=8.0, endOffset=20.0}	2min	AYZGVOAuK3-6EP2jdkrw	fd67a88864ae4df85002e3efd31b16e0	OPEN
MINOR	2023-02-12T15:52:22+0000		236.0		python:S117	BNumMet	2min		"Rename this local variable ""buttonsGroup2"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=236.0, endLine=236.0, startOffset=8.0, endOffset=21.0}	2min	AYZGVOAuK3-6EP2jdkrx	a37c8df9c7f273b3d94ca695e3dc8e72	OPEN
MINOR	2023-02-12T15:52:22+0000		244.0		python:S100	BNumMet	5min		"Rename method ""defaultLines"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=244.0, endLine=244.0, startOffset=8.0, endOffset=20.0}	5min	AYZGVOAuK3-6EP2jdkrz	f623542effdd0856407f11e1d047c527	OPEN
MINOR	2023-02-12T15:52:22+0000		246.0		python:S116	BNumMet	2min		"Rename this field ""hLine"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=246.0, endLine=246.0, startOffset=13.0, endOffset=18.0}	2min	AYZGVOAuK3-6EP2jdkrk	909ec31583976f16dfcaea8a7dc8c466	OPEN
MINOR	2023-02-12T15:52:22+0000		255.0		python:S116	BNumMet	2min		"Rename this field ""functionLine"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=255.0, endLine=255.0, startOffset=13.0, endOffset=25.0}	2min	AYZGVOAuK3-6EP2jdkrq	96c9111181fd6ceb2d22d014def70719	OPEN
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""newB"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=275.0, endLine=275.0, startOffset=8.0, endOffset=12.0}	2min	AYZGVOAuK3-6EP2jdkr0	2cd27f908f63a187141d7356ac001848	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S100	BNumMet	5min		"Rename method ""oneStep"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=322.0, endLine=322.0, startOffset=8.0, endOffset=15.0}	5min	AYZGVOAuK3-6EP2jdkr1	e7fd4bef5e1a6fd00b66db424eef15c5	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S100	BNumMet	5min		"Rename method ""drawFigures"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=333.0, endLine=333.0, startOffset=8.0, endOffset=19.0}	5min	AYZGVOAuK3-6EP2jdkr4	5e50034e67d5868929d99e9c0b6e70a6	CLOSED
MINOR	2023-02-12T15:52:22+0000		404.0		python:S117	BNumMet	2min		"Rename this parameter ""maxY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=404.0, endLine=404.0, startOffset=33.0, endOffset=37.0}	2min	AYZGVOAuK3-6EP2jdkr5	2593537ba8e0d2233b9dda692b0ac08d	OPEN
MINOR	2023-02-12T15:52:22+0000		404.0		python:S117	BNumMet	2min		"Rename this parameter ""minY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=404.0, endLine=404.0, startOffset=27.0, endOffset=31.0}	2min	AYZGVOAuK3-6EP2jdkr6	2593537ba8e0d2233b9dda692b0ac08d	OPEN
MINOR	2023-02-12T15:52:22+0000		418.0		python:S117	BNumMet	2min		"Rename this parameter ""maxY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=418.0, endLine=418.0, startOffset=36.0, endOffset=40.0}	2min	AYZGVOAuK3-6EP2jdkr-	af2b9276f30bb24436e8f07ff7ab5cef	OPEN
MINOR	2023-02-12T15:52:22+0000		418.0		python:S117	BNumMet	2min		"Rename this parameter ""minY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=418.0, endLine=418.0, startOffset=30.0, endOffset=34.0}	2min	AYZGVOAuK3-6EP2jdkr_	af2b9276f30bb24436e8f07ff7ab5cef	OPEN
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""interpolY"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=390.0, endLine=390.0, startOffset=12.0, endOffset=21.0}	2min	AYZGVOAuK3-6EP2jdkr9	3c53e21040344132dddd74134c24417b	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""interpolX"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=391.0, endLine=391.0, startOffset=12.0, endOffset=21.0}	2min	AYZGVOAuK3-6EP2jdkr8	57865c48b9f49b388dd99e59c5297a1e	CLOSED
MINOR	2023-02-12T15:52:22+0000		422.0		python:S117	BNumMet	2min		"Rename this local variable ""yMesh"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	-	"convention / "	-	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=422.0, endLine=422.0, startOffset=12.0, endOffset=17.0}	2min	AYZGVOAuK3-6EP2jdksB	c39e2dd821557a030f3af1787269d9ff	OPEN
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""xMesh"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=405.0, endLine=405.0, startOffset=12.0, endOffset=17.0}	2min	AYZGVOAuK3-6EP2jdksA	645ff6dd302eb57e769dc7c60ed3b671	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""IQILine"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=407.0, endLine=407.0, startOffset=12.0, endOffset=19.0}	2min	AYZGVOAuK3-6EP2jdkr7	1711dce25cc5887fd4895ef1629006da	CLOSED
MINOR	2023-02-17T07:28:35+0000		-		python:S117	BNumMet	2min		"Rename this local variable ""minMax"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-02-12T15:52:22+0000	CODE_SMELL	false	FIXED	"convention / "	2023-02-17T07:28:35+0000	BNumMet:src/BNumMet/Visualizers/NonLinearVisualizer.py		MAIN	{startLine=432.0, endLine=432.0, startOffset=8.0, endOffset=14.0}	2min	AYZGVOAuK3-6EP2jdkr2	0d21db2dd810ef863714711c049e4233	CLOSED
